timestamp_sec,gt_x,gt_y,gt_z
353.804031,5.95928278,0.756997169,6.431672586
353.825087,5.978612275,0.758080012,6.433431358
353.846261,5.998050094,0.759168922,6.435199987
353.867282,6.017347458,0.760249965,6.436955835
353.888299,6.03664115,0.761330801,6.438711349
353.909318,6.055936678,0.762411741,6.440467031
353.930379,6.075270763,0.76349484,6.44222622
353.951394,6.094562619,0.764575574,6.443981567
353.972409,6.123855695,0.765319318,6.444576499
353.993453,6.153228905,0.76606275,6.445167644
354.01446,6.182550471,0.766804875,6.445757749
354.035462,6.211865058,0.767546824,6.446347714
354.057359,6.242428886,0.76832039,6.446962821
354.078385,6.271776972,0.769063187,6.44755346
354.099404,6.301115287,0.769805736,6.448143903
354.121401,6.331818695,0.770582835,6.448761818
354.167612,6.396319998,0.772215355,6.450059927
354.188641,6.425672272,0.772958257,6.45065065
354.209682,6.455041295,0.773701583,6.451241711
354.230694,6.484369839,0.774443885,6.451831957
354.251704,6.513695593,0.775186116,6.452422147
354.272707,6.543011575,0.7759281,6.45301214
354.293697,6.572309413,0.776669624,6.453601768
354.3147,6.601625395,0.777411608,6.454191761
354.335737,6.630988835,0.778154793,6.454782709
354.356784,6.660366233,0.778898331,6.455373938
354.377786,6.68968082,0.77964028,6.455963904
354.398814,6.719031697,0.780383147,6.456554599
354.41984,6.748379784,0.781125943,6.457145238
354.441187,6.778175921,0.78188008,6.457744895
354.462238,6.807558902,0.782623759,6.458336236
354.483281,6.836930717,0.783367156,6.458927353
354.504294,6.866260658,0.784109493,6.459517627
354.525325,6.895615723,0.784852466,6.460108407
354.558916,6.942502033,0.786039153,6.461052008
354.579954,6.971866868,0.786782373,6.461642985
354.60112,7.001410366,0.787530115,6.462237557
354.622165,7.030784973,0.788273583,6.46282873
354.643229,7.060186099,0.789017721,6.463420436
354.665258,7.090934172,0.789795951,6.464039251
354.686353,7.120378569,0.790541185,6.464631828
354.707374,7.149719676,0.791283805,6.465222327
354.729243,7.180244421,0.792056382,6.465836647
354.750284,7.209613444,0.792799708,6.466427708
354.771321,7.238976884,0.793542893,6.467018656
354.79236,7.268343115,0.794286149,6.46760966
354.813375,7.297675847,0.795028557,6.468199991
354.834377,7.326990434,0.795770505,6.468789956
354.855379,7.356305021,0.796512454,6.469379921
354.876384,7.385623795,0.797254508,6.46996997
354.897415,7.41497886,0.797997481,6.47056075
354.918458,7.444350675,0.798740878,6.471151867
354.939513,7.473739239,0.799484699,6.471743321
354.960539,7.498783029,0.799738705,6.472012982
354.981562,7.51814136,0.79934745,6.471858898
355.002593,7.537507057,0.798956045,6.471704755
355.036305,7.568549632,0.798328636,6.47145767
355.057337,7.58791625,0.797937213,6.47130352
355.078351,7.607266294,0.797546125,6.471149502
355.099377,7.626627387,0.797154813,6.470995397
355.120384,7.645970985,0.796763855,6.47084143
355.141436,7.66535602,0.79637206,6.470687133
355.162458,7.68471343,0.795980823,6.470533057
355.184031,7.70457821,0.795579331,6.470374942
355.205063,7.723944828,0.795187908,6.470220792
355.226081,7.743298555,0.794796745,6.470066745
355.247379,7.762910111,0.794400371,6.469910645
355.268402,7.782268441,0.794009115,6.469756562
355.289408,7.801611119,0.793618176,6.469602602
355.312099,7.822505372,0.793195877,6.469436293
355.334719,7.843334247,0.7927749,6.469270504
355.355735,7.862686132,0.792383775,6.469116472
355.547052,8.038854034,0.788823204,6.467714252
355.568086,8.058222494,0.788431744,6.467560088
355.589136,8.077605687,0.788039985,6.467405806
355.610167,8.096971384,0.787648581,6.467251663
355.631194,8.116333399,0.78725725,6.46709755
355.652233,8.135706463,0.786865697,6.466943349
355.673279,8.155085972,0.786474013,6.466789097
355.694313,8.174454432,0.786082553,6.466634932
355.71534,8.193816446,0.785691222,6.466480819
355.748532,8.224380196,0.785073491,6.466237545
355.769566,8.243748656,0.784682031,6.46608338
355.790622,8.263137374,0.784290161,6.465929055
355.81165,8.282500309,0.783898812,6.465774934
355.832657,8.301843907,0.783507854,6.465620967
355.853686,8.321207763,0.783116487,6.46546684
355.887208,8.352075383,0.782492614,6.465221147
355.908229,8.371431872,0.782101395,6.465067078
355.929232,8.390771787,0.781710512,6.46491314
355.975606,8.442322077,0.778936277,6.464579894
355.996621,8.469379441,0.776880643,6.464431654
356.017666,8.496475431,0.774822075,6.464283203
356.038742,8.523611335,0.772760474,6.464134533
356.059783,8.550702175,0.770702298,6.463986109
356.080792,8.577751814,0.768647251,6.463837912
356.101819,8.604824628,0.766590444,6.463689588
356.122864,8.631920618,0.764531876,6.463541136
356.143907,8.659014033,0.762473503,6.463392699
356.164915,8.686062385,0.760418554,6.463244508
356.186032,8.713251077,0.758352943,6.463095549
356.207062,8.740327754,0.756295842,6.462947203
356.228084,8.767394131,0.754239524,6.462798914
356.249086,8.794434757,0.752185162,6.462650766
356.270138,8.82153976,0.750125909,6.462502265
356.291169,8.848617725,0.748068711,6.462353913
356.312195,8.875689252,0.746012001,6.462205595
356.333275,8.902830305,0.743950009,6.462056897
356.354287,8.929883807,0.741894669,6.461908678
356.375322,8.956966922,0.739837079,6.461760297
356.397167,8.985092933,0.737700257,6.461606203
356.418219,9.012197936,0.735641005,6.461457702
356.439267,9.039297788,0.733582143,6.461309229
356.460308,9.066388628,0.731523966,6.461160806
356.481334,9.093460155,0.729467257,6.461012489
356.502383,9.120561295,0.727408297,6.460864009
356.523439,9.147671448,0.725348653,6.46071548
356.54447,9.174749413,0.723291455,6.460567127
356.565491,9.201814502,0.721235234,6.460418845
356.586714,9.229139672,0.719159255,6.460269138
356.60773,9.256198324,0.717103523,6.460120891
356.628794,9.283318777,0.715043097,6.459972306
356.649841,9.310417342,0.712984333,6.45982384
356.67086,9.337479856,0.710928308,6.459675572
356.69187,9.364530783,0.708873163,6.459527368
356.71406,9.393100991,0.706702594,6.45937084
356.735113,9.420207281,0.704643244,6.459222332
356.756134,9.44727237,0.702587023,6.45907405
356.789748,9.490551278,0.699298988,6.458836936
356.811166,9.518127515,0.697203934,6.458685854
356.832179,9.545182305,0.695148496,6.458537628
356.865369,9.587915301,0.691901935,6.458303506
356.886374,9.61495979,0.68984728,6.458155337
356.907409,9.642042905,0.68778969,6.458006956
356.928429,9.669106707,0.685733567,6.457858681
356.949463,9.696188534,0.683676075,6.457710307
356.970498,9.717831457,0.681653662,6.458292528
356.991535,9.738900359,0.679634781,6.458952171
357.012548,9.759945226,0.677618204,6.459611061
357.033649,9.781078225,0.675593181,6.46027271
357.054668,9.802129101,0.673576028,6.460931788
357.075702,9.823194999,0.671557436,6.461591336
357.097758,9.845284446,0.669440764,6.462282931
357.118811,9.866369373,0.667420348,6.462943075
357.139861,9.887451296,0.66540022,6.463603125
357.161026,9.908648392,0.663369055,6.464266781
357.182044,9.929698266,0.661351998,6.464925828
357.203077,9.950763163,0.659333501,6.465585345
357.224097,9.97181504,0.657316252,6.466244455
357.245106,9.9928559,0.655300059,6.466903219
357.266322,10.01410407,0.653264,6.467568474
357.287332,10.03514594,0.651247711,6.46822727
357.333452,10.08133588,0.646821663,6.469673423
357.354484,10.10239977,0.644803262,6.470332908
357.375485,10.12343262,0.642787836,6.470991422
357.396487,10.14446647,0.640772315,6.471649967
357.417528,10.16553938,0.63875305,6.472309735
357.438546,10.18658925,0.636735993,6.472968782
357.459568,10.20764313,0.634718552,6.473627954
357.624904,10.37322986,0.618851574,6.478812279
357.646224,10.3945822,0.616805534,6.479480795
357.667242,10.41563207,0.614788477,6.480139842
357.688277,10.43669897,0.612769788,6.480799422
357.709337,10.45779091,0.610748701,6.481459786
357.754656,10.50317863,0.606399523,6.482880822
357.775663,10.52421749,0.604383522,6.483539524
357.796711,10.54529741,0.602363585,6.484199511
357.817735,10.56635329,0.600345952,6.484858746
357.838752,10.58740216,0.598328991,6.485517761
357.859776,10.60845805,0.596311358,6.486176996
357.880846,10.62956,0.594289311,6.486837673
357.901905,10.65065094,0.592268319,6.487498006
357.922974,10.67175189,0.590246368,6.488158651
357.944019,10.6928288,0.588226719,6.488818545
357.965034,10.70825791,0.587552257,6.489520832
357.986096,10.72062417,0.587616369,6.490248583
358.019288,10.74011239,0.587717405,6.49139546
358.065389,10.76717995,0.587857736,6.492988379
358.086903,10.77981159,0.587923225,6.493731748
358.107915,10.7921485,0.587987185,6.494457771
358.128953,10.80450067,0.588051224,6.495184693
358.150009,10.8168634,0.588115319,6.495912237
358.171054,10.82921968,0.588179379,6.4966394
358.192064,10.84155541,0.588243334,6.497365355
358.213109,10.85391168,0.588307394,6.498092518
358.378957,10.95128702,0.588812234,6.503823031
358.399991,10.96363684,0.588876261,6.504549815
358.421031,10.97599018,0.588940307,6.505276805
358.442037,10.98832356,0.589004249,6.506002622
358.463053,11.00066281,0.589068221,6.506728783
358.484095,11.01301733,0.589132273,6.507455843
358.505115,11.02535893,0.589196257,6.508182143
358.526129,11.03769701,0.589260224,6.508908236
358.547137,11.05003156,0.589324172,6.509634121
358.569721,11.06329144,0.589392917,6.510414461
358.590779,11.07565535,0.589457018,6.511142074
358.61182,11.08800928,0.589521066,6.5118691
358.633575,11.10078242,0.589587288,6.512620796
358.654615,11.11313577,0.589651334,6.513347787
358.675714,11.12552375,0.589715559,6.514076816
358.697234,11.13815892,0.589781065,6.514820393
358.718275,11.15051285,0.589845114,6.515547418
358.739333,11.16287676,0.589909214,6.516275031
358.761599,11.17594993,0.589976992,6.517044383
358.782639,11.18830327,0.590041037,6.517771374
358.828726,11.21536261,0.590181326,6.519363809
358.849756,11.22771008,0.590245341,6.520090455
358.870794,11.24006225,0.59030938,6.520817376
358.891844,11.25242146,0.590373456,6.521544713
358.912844,11.26475132,0.59043738,6.522270322
358.933869,11.27709585,0.59050138,6.522996794
358.954904,11.29007831,0.590849374,6.523385826
358.975897,11.30627583,0.592652774,6.522041995
358.996905,11.32248492,0.594457463,6.520697204
359.017932,11.33870868,0.596263783,6.519351196
359.039031,11.35498799,0.598076289,6.518000579
359.204783,11.48287688,0.612315186,6.507390247
359.226035,11.49927424,0.614140835,6.506029836
359.24706,11.51549645,0.615946984,6.504683957
359.268093,11.53172484,0.61775382,6.503337565
359.28913,11.54795631,0.619561,6.501990917
359.310156,11.56417929,0.621367235,6.500644973
359.331167,11.5803907,0.623172181,6.49929999
359.352208,11.59662526,0.624979704,6.497953086
359.373208,11.61282818,0.626783706,6.496608807
359.394235,11.62905194,0.628590026,6.495262799
359.415286,11.64529421,0.630398409,6.493915255
359.43628,11.6614925,0.632201895,6.49257136
359.469911,11.6874411,0.63509096,6.490418529
359.490951,11.70367488,0.636898397,6.489071689
359.511965,11.71988861,0.638703601,6.487726513
359.557323,11.75488538,0.642600072,6.484822998
359.578339,11.77110065,0.644405448,6.483477695
359.624886,11.80701481,0.64840406,6.480498068
359.645926,11.8232486,0.650211497,6.479151228
359.691241,11.85821219,0.654104274,6.476250465
359.712266,11.8744344,0.655910423,6.474904585
359.745462,11.90004736,0.65876212,6.4727796
359.766485,11.91626803,0.660568097,6.471433848
359.78751,11.93249024,0.662374246,6.470087969
359.821154,11.95844887,0.665264428,6.467934305
359.842196,11.9746842,0.667072037,6.466587337
359.863241,11.99092184,0.668879904,6.465240177
359.896405,12.01651011,0.671728852,6.46311724
359.917411,12.03271767,0.673533368,6.461772577
359.938411,12.04892059,0.67533737,6.460428298
359.971946,12.06707767,0.6770392,6.456763209
359.992993,12.07538148,0.677634958,6.453854642
360.014012,12.08367425,0.678229924,6.450949944
360.047283,12.09680088,0.679171696,6.446352095
360.0683,12.10509286,0.679766606,6.443447674
360.089351,12.11339825,0.680362477,6.440538554
360.122972,12.12666297,0.681314157,6.435892337
360.144009,12.13496284,0.681909632,6.432985152
360.165036,12.14325877,0.682504825,6.430079349
360.198638,12.15651599,0.683455966,6.425435757
360.219657,12.16480876,0.684050932,6.42253106
360.24071,12.17311494,0.684646861,6.419621664
360.274325,12.18637729,0.68559837,6.414976276
360.295586,12.19476554,0.686200186,6.412038135
360.316608,12.20305949,0.686795237,6.409133023
360.351169,12.21669508,0.687773524,6.404356904
360.37221,12.22499652,0.688369113,6.401449166
360.394002,12.23359427,0.68898596,6.398437644
360.430094,12.24783389,0.690007584,6.39344995
360.451101,12.25612192,0.69060221,6.390546911
360.472113,12.26441193,0.691196978,6.38764318
360.50529,12.27750148,0.692136089,6.383058321
360.538957,12.29078434,0.693089071,6.378405747
360.572134,12.30387389,0.694028182,6.373820888
360.593159,12.31216903,0.694623318,6.370915362
360.614174,12.32046022,0.695218171,6.368011217
