timestamp_sec,module_id,range_m,self_range_error
143.315057,100.0,9.951,0.055
143.335878,101.0,3.204,0.024
143.356874,102.0,15.3,0.024
143.377913,103.0,11.514,0.024
143.398938,100.0,10.013,0.055
143.419762,101.0,3.14,0.055
143.44081,102.0,15.359,0.055
143.461844,103.0,11.509,0.055
143.482875,100.0,10.099,0.055
143.50372,101.0,3.049,0.055
143.526785,102.0,15.409,0.024
143.547959,103.0,11.505,0.024
143.568992,100.0,10.168,0.055
143.589829,101.0,2.979,0.055
143.610876,102.0,15.459,0.024
143.63192,103.0,11.478,0.055
143.652979,100.0,10.254,0.024
143.674056,101.0,2.97,0.055
143.695104,102.0,15.511,0.024
143.716149,103.0,11.501,0.055
143.737155,100.0,10.311,0.024
143.757991,101.0,2.923,0.055
143.779026,102.0,15.558,0.055
143.800035,103.0,11.478,0.055
143.821051,100.0,10.357,0.055
143.842167,101.0,2.871,0.055
143.863176,102.0,15.593,0.055
143.896762,100.0,10.421,0.055
143.917601,101.0,2.806,0.055
143.93863,102.0,15.65,0.055
143.959645,103.0,11.481,0.055
143.980693,100.0,10.47,0.055
144.001682,101.0,2.762,0.055
144.022711,102.0,15.678,0.024
144.043739,103.0,11.482,0.024
144.0648,100.0,10.508,0.055
144.085922,101.0,2.767,0.055
144.106955,102.0,15.714,0.024
144.128046,103.0,11.487,0.055
144.149055,100.0,10.549,0.055
144.170647,101.0,2.735,0.055
144.191679,102.0,15.746,0.024
144.212698,103.0,11.482,0.055
144.23373,100.0,10.567,0.055
144.254557,101.0,2.706,0.024
144.275542,102.0,15.772,0.055
144.297183,103.0,11.494,0.024
144.318194,100.0,10.59,0.055
144.339205,101.0,2.673,0.055
144.361311,102.0,15.792,0.055
144.382348,103.0,11.494,0.055
144.40336,100.0,10.613,0.055
144.424732,101.0,2.662,0.055
144.44574,102.0,15.813,0.055
144.466797,103.0,11.514,0.055
144.489009,100.0,10.624,0.055
144.50985,101.0,2.579,0.055
144.530876,102.0,15.835,0.055
144.552527,103.0,11.523,0.055
144.573581,100.0,10.63,0.055
144.594416,101.0,2.587,0.055
144.61543,102.0,15.857,0.024
144.636525,103.0,11.534,0.055
144.657577,100.0,10.635,0.055
144.678623,101.0,2.62,0.055
144.699667,102.0,15.86,0.024
144.720691,103.0,11.55,0.055
144.74171,100.0,10.653,0.055
